Sex,AgeMin(year),AgeMax(year),Nutrient,DRI,Unit(/d),DRI_available,Upper_intake,id
Male,70,200,Nickel,NA,mg,0,1,NA
Female,9,13,Nickel,NA,mg,0,1,NA
Female,14,18,Nickel,NA,mg,0,0.6,NA
Female,19,30,Nickel,NA,mg,0,1,NA
Female,31,50,Nickel,NA,mg,0,1,NA
Female,51,70,Nickel,NA,mg,0,1,NA
Female,70,200,Nickel,NA,mg,0,1,NA
Pregnancy,14,18,Nickel,NA,mg,0,1,NA
Pregnancy,19,30,Nickel,NA,mg,0,1,NA
Pregnancy,31,50,Nickel,NA,mg,0,1,NA
Lactation,14,18,Nickel,NA,mg,0,1,NA
Lactation,19,30,Nickel,NA,mg,0,1,NA
Lactation,31,50,Nickel,NA,mg,0,1,NA
Lactation,31,50,Nickel,NA,mg,0,1,NA
Neutral,0,0.5,Pantothenic Acid,1.7,mg,0,NA,410
Neutral,0.5,1,Pantothenic Acid,1.8,mg,0,NA,410
Neutral,1,3,Pantothenic Acid,2,mg,0,NA,410
Neutral,4,8,Pantothenic Acid,3,mg,0,NA,410
Male,9,13,Pantothenic Acid,4,mg,0,NA,410
Male,14,18,Pantothenic Acid,5,mg,0,NA,410
Male,19,30,Pantothenic Acid,5,mg,0,NA,410
Male,31,50,Pantothenic Acid,5,mg,0,NA,410
Male,51,70,Pantothenic Acid,5,mg,0,NA,410
Male,70,200,Pantothenic Acid,5,mg,0,NA,410
Female,9,13,Pantothenic Acid,4,mg,0,NA,410
Female,14,18,Pantothenic Acid,5,mg,0,NA,410
Female,19,30,Pantothenic Acid,5,mg,0,NA,410
Female,31,50,Pantothenic Acid,5,mg,0,NA,410
Female,51,70,Pantothenic Acid,5,mg,0,NA,410
Female,70,200,Pantothenic Acid,5,mg,0,NA,410
Pregnancy,14,18,Pantothenic Acid,6,mg,0,NA,410
Pregnancy,19,30,Pantothenic Acid,6,mg,0,NA,410
Pregnancy,31,50,Pantothenic Acid,6,mg,0,NA,410
Lactation,14,18,Pantothenic Acid,7,mg,0,NA,410
Lactation,19,30,Pantothenic Acid,7,mg,0,NA,410
Lactation,31,50,Pantothenic Acid,7,mg,0,NA,410
Neutral,0,0.5,Phenylalanine+tyrosine,807,mg/kg,1,NA,508
Neutral,0.583,1,Phenylalanine+tyrosine,84,mg/kg,1,NA,508
Neutral,1,3,Phenylalanine+tyrosine,54,mg/kg,1,NA,508
Neutral,4,8,Phenylalanine+tyrosine,41,mg/kg,1,NA,508
Male,9,13,Phenylalanine+tyrosine,41,mg/kg,1,NA,508
Female,9,13,Phenylalanine+tyrosine,38,mg/kg,1,NA,508
Male,14,18,Phenylalanine+tyrosine,38,mg/kg,1,NA,508
Female,14,18,Phenylalanine+tyrosine,35,mg/kg,1,NA,508
Neutral,19,200,Phenylalanine+tyrosine,33,mg/kg,1,NA,508
Precnancy,0,200,Phenylalanine+tyrosine,44,mg/kg,1,NA,508
Lactation,0,200,Phenylalanine+tyrosine,51,mg/kg,1,NA,508
Neutral,0,0.5,Phosphorus,100,mg,0,NA,305
Neutral,0.5,1,Phosphorus,275,mg,0,NA,305
Neutral,1,3,Phosphorus,460,mg,1,3,305
Neutral,4,8,Phosphorus,500,mg,1,3,305
Male,9,13,Phosphorus,1250,mg,1,4,305
Male,14,18,Phosphorus,1250,mg,1,4,305
Male,19,30,Phosphorus,700,mg,1,4,305
Male,31,50,Phosphorus,700,mg,1,4,305
Male,51,70,Phosphorus,700,mg,1,4,305
Male,70,200,Phosphorus,700,mg,1,3,305
Female,9,13,Phosphorus,1250,mg,1,4,305
Female,14,18,Phosphorus,1250,mg,1,4,305
Female,19,30,Phosphorus,700,mg,1,4,305
Female,31,50,Phosphorus,700,mg,1,4,305
Female,51,70,Phosphorus,700,mg,1,4,305
Female,70,200,Phosphorus,700,mg,1,3,305
Pregnancy,14,18,Phosphorus,1250,mg,1,3.5,305
Pregnancy,19,30,Phosphorus,700,mg,1,3.5,305
Pregnancy,31,50,Phosphorus,700,mg,1,3.5,305
Lactation,14,18,Phosphorus,1250,mg,1,4,305
Lactation,19,30,Phosphorus,700,mg,1,4,305
Lactation,31,50,Phosphorus,700,mg,1,4,305
Neutral,0,0.5,Potassium,0.4,g,0,NA,306
Neutral,0.5,1,Potassium,0.7,g,0,NA,306
Neutral,1,3,Potassium,3,g,0,NA,306
Neutral,4,8,Potassium,3.8,g,0,NA,306
Male,9,13,Potassium,4.5,g,0,NA,306
Male,14,18,Potassium,4.7,g,0,NA,306
Male,19,30,Potassium,4.7,g,0,NA,306
Male,31,50,Potassium,4.7,g,0,NA,306
Male,51,70,Potassium,4.7,g,0,NA,306
Male,70,200,Potassium,4.7,g,0,NA,306
Female,9,13,Potassium,4.5,g,0,NA,306
Female,14,18,Potassium,4.7,g,0,NA,306
Female,19,30,Potassium,4.7,g,0,NA,306
Female,31,50,Potassium,4.7,g,0,NA,306
Female,51,70,Potassium,4.7,g,0,NA,306
Female,70,200,Potassium,4.7,g,0,NA,306
Pregnancy,14,18,Potassium,4.7,g,0,NA,306
Pregnancy,19,30,Potassium,4.7,g,0,NA,306
Pregnancy,31,50,Potassium,4.7,g,0,NA,306
Lactation,14,18,Potassium,5.1,g,0,NA,306
Lactation,19,30,Potassium,5.1,g,0,NA,306
Lactation,31,50,Potassium,5.1,g,0,NA,306
Neutral,0,0.5,Protein,9.1,g,0,NA,203
Neutral,0.5,1,Protein,11,g,1,NA,203
Neutral,1,3,Protein,13,g,1,NA,203
Neutral,4,8,Protein,19,g,1,NA,203
Male,9,13,Protein,34,g,1,NA,203
Male,14,18,Protein,52,g,1,NA,203
Male,19,30,Protein,56,g,1,NA,203
Male,31,50,Protein,56,g,1,NA,203
Male,51,70,Protein,56,g,1,NA,203
Male,70,200,Protein,56,g,1,NA,203
Female,9,13,Protein,34,g,1,NA,203
Female,14,18,Protein,46,g,1,NA,203
Female,19,30,Protein,46,g,1,NA,203
Female,31,50,Protein,46,g,1,NA,203
Female,51,70,Protein,46,g,1,NA,203
Female,70,200,Protein,46,g,1,NA,203
Pregnancy,14,18,Protein,71,g,1,NA,203
Pregnancy,19,30,Protein,71,g,1,NA,203
Pregnancy,31,50,Protein,71,g,1,NA,203
Lactation,14,18,Protein,71,g,1,NA,203
Lactation,19,30,Protein,71,g,1,NA,203
Lactation,31,50,Protein,71,g,1,NA,203
Neutral,0,0.5,Riboflavin,0.3,mg,0,NA,405
Neutral,0.5,1,Riboflavin,0.4,mg,0,NA,405
Neutral,1,3,Riboflavin,0,mg,1,NA,405
Neutral,4,8,Riboflavin,0,mg,1,NA,405
Male,9,13,Riboflavin,0,mg,1,NA,405
Male,14,18,Riboflavin,1,mg,1,NA,405
Male,19,30,Riboflavin,1,mg,1,NA,405
Male,31,50,Riboflavin,1,mg,1,NA,405
Male,51,70,Riboflavin,1,mg,1,NA,405
Male,70,200,Riboflavin,1,mg,1,NA,405
Female,9,13,Riboflavin,0,mg,1,NA,405
Female,14,18,Riboflavin,1,mg,1,NA,405
Female,19,30,Riboflavin,1,mg,1,NA,405
Female,31,50,Riboflavin,1,mg,1,NA,405
Female,51,70,Riboflavin,1,mg,1,NA,405
Female,70,200,Riboflavin,1,mg,1,NA,405
Pregnancy,14,18,Riboflavin,1,mg,1,NA,405
Pregnancy,19,30,Riboflavin,1,mg,1,NA,405
Pregnancy,31,50,Riboflavin,1,mg,1,NA,405
Lactation,14,18,Riboflavin,1,mg,1,NA,405
Lactation,19,30,Riboflavin,1,mg,1,NA,405
Lactation,31,50,Riboflavin,1,mg,1,NA,405
Neutral,0,0.5,Selenium,15,ug,0,45,317
Neutral,0.5,1,Selenium,20,ug,0,60,317
Neutral,1,3,Selenium,20,ug,1,90,317
Neutral,4,8,Selenium,30,ug,1,150,317
Male,9,13,Selenium,40,ug,1,280,317
Male,14,18,Selenium,55,ug,1,400,317
Male,19,30,Selenium,55,ug,1,400,317
Male,31,50,Selenium,55,ug,1,400,317
Male,51,70,Selenium,55,ug,1,400,317
Male,70,200,Selenium,55,ug,1,400,317
Female,9,13,Selenium,40,ug,1,280,317
Female,14,18,Selenium,55,ug,1,400,317
Female,19,30,Selenium,55,ug,1,400,317
Female,31,50,Selenium,55,ug,1,400,317
Female,51,70,Selenium,55,ug,1,400,317
Female,70,200,Selenium,55,ug,1,400,317
Pregnancy,14,18,Selenium,60,ug,1,400,317
Pregnancy,19,30,Selenium,60,ug,1,400,317
Pregnancy,31,50,Selenium,60,ug,1,400,317
Lactation,14,18,Selenium,70,ug,1,400,317
Lactation,19,30,Selenium,70,ug,1,400,317
Lactation,31,50,Selenium,70,ug,1,400,317
Neutral,0,0.5,Sodium,0.12,g,0,NA,307
Neutral,0.5,1,Sodium,0.37,g,0,NA,307
Neutral,1,3,Sodium,1,g,0,1.5,307
Neutral,4,8,Sodium,1.2,g,0,1.9,307
Male,9,13,Sodium,1.5,g,0,2.2,307
Male,14,18,Sodium,1.5,g,0,2.3,307
Male,19,30,Sodium,1.5,g,0,2.3,307
Male,31,50,Sodium,1.5,g,0,2.3,307
Male,51,70,Sodium,1.3,g,0,2.3,307
Male,70,200,Sodium,1.2,g,0,2.3,307
Female,9,13,Sodium,1.5,g,0,2.2,307
Female,14,18,Sodium,1.5,g,0,2.3,307
Female,19,30,Sodium,1.5,g,0,2.3,307
Female,31,50,Sodium,1.5,g,0,2.3,307
Female,51,70,Sodium,1.3,g,0,2.3,307
Female,70,200,Sodium,1.2,g,0,2.3,307
Pregnancy,14,18,Sodium,1.5,g,0,2.3,307
Pregnancy,19,30,Sodium,1.5,g,0,2.3,307
Pregnancy,31,50,Sodium,1.5,g,0,2.3,307
Lactation,14,18,Sodium,1.5,g,0,2.3,307
Lactation,19,30,Sodium,1.5,g,0,2.3,307
Lactation,31,50,Sodium,1.5,g,0,2.3,307
Neutral,0,0.5,Thiamin,0.2,mg,0,NA,404
Neutral,0.5,1,Thiamin,0.3,mg,0,NA,404
Neutral,1,3,Thiamin,0,mg,1,NA,404
Neutral,4,8,Thiamin,0,mg,1,NA,404
Male,9,13,Thiamin,0,mg,1,NA,404
Male,14,18,Thiamin,1,mg,1,NA,404
Male,19,30,Thiamin,1,mg,1,NA,404
Male,31,50,Thiamin,1,mg,1,NA,404
Male,51,70,Thiamin,1,mg,1,NA,404
Male,70,200,Thiamin,1,mg,1,NA,404
Female,9,13,Thiamin,0,mg,1,NA,404
Female,14,18,Thiamin,1,mg,1,NA,404
Female,19,30,Thiamin,1,mg,1,NA,404
Female,31,50,Thiamin,1,mg,1,NA,404
Female,51,70,Thiamin,1,mg,1,NA,404
Female,70,200,Thiamin,1,mg,1,NA,404
Pregnancy,14,18,Thiamin,1,mg,1,NA,404
Pregnancy,19,30,Thiamin,1,mg,1,NA,404
Pregnancy,31,50,Thiamin,1,mg,1,NA,404
Lactation,14,18,Thiamin,1,mg,1,NA,404
Lactation,19,30,Thiamin,1,mg,1,NA,404
Lactation,31,50,Thiamin,1,mg,1,NA,404
Neutral,0,0.5,Threonine,436,mg/kg,1,NA,502
Neutral,0.583,1,Threonine,49,mg/kg,1,NA,502
Neutral,1,3,Threonine,32,mg/kg,1,NA,502
Neutral,4,8,Threonine,24,mg/kg,1,NA,502
Male,9,13,Threonine,24,mg/kg,1,NA,502
Female,9,13,Threonine,22,mg/kg,1,NA,502
Male,14,18,Threonine,22,mg/kg,1,NA,502
Female,14,18,Threonine,21,mg/kg,1,NA,502
Neutral,19,200,Threonine,20,mg/kg,1,NA,502
Precnancy,0,200,Threonine,26,mg/kg,1,NA,502
Lactation,0,200,Threonine,30,mg/kg,1,NA,502
Neutral,0,0.5,Total Fiber,NA,g,0,NA,291
Neutral,0.5,1,Total Fiber,NA,g,0,NA,291
Neutral,1,3,Total Fiber,19,g,0,NA,291
Neutral,4,8,Total Fiber,25,g,0,NA,291
Male,9,13,Total Fiber,31,g,0,NA,291
Male,14,18,Total Fiber,38,g,0,NA,291
Male,19,30,Total Fiber,38,g,0,NA,291
Male,31,50,Total Fiber,38,g,0,NA,291
Male,51,70,Total Fiber,30,g,0,NA,291
Male,70,200,Total Fiber,30,g,0,NA,291
Female,9,13,Total Fiber,26,g,0,NA,291
Female,14,18,Total Fiber,26,g,0,NA,291
Female,19,30,Total Fiber,25,g,0,NA,291
Female,31,50,Total Fiber,25,g,0,NA,291
Female,51,70,Total Fiber,21,g,0,NA,291
Female,70,200,Total Fiber,21,g,0,NA,291
Pregnancy,14,18,Total Fiber,28,g,0,NA,291
Pregnancy,19,30,Total Fiber,28,g,0,NA,291
Pregnancy,31,50,Total Fiber,28,g,0,NA,291
Lactation,14,18,Total Fiber,29,g,0,NA,291
Lactation,19,30,Total Fiber,29,g,0,NA,291
Lactation,31,50,Total Fiber,29,g,0,NA,291
Neutral,0,0.5,Total Water,0.7,L,0,NA,255
Neutral,0.5,1,Total Water,0.8,L,0,NA,255
Neutral,1,3,Total Water,1.3,L,0,NA,255
Neutral,4,8,Total Water,1.7,L,0,NA,255
Male,9,13,Total Water,2.4,L,0,NA,255
Male,14,18,Total Water,3.3,L,0,NA,255
Male,19,30,Total Water,3.7,L,0,NA,255
Male,31,50,Total Water,3.7,L,0,NA,255
Male,51,70,Total Water,3.7,L,0,NA,255
Male,70,200,Total Water,3.7,L,0,NA,255
Female,9,13,Total Water,2.1,L,0,NA,255
Female,14,18,Total Water,2.3,L,0,NA,255
Female,19,30,Total Water,2.7,L,0,NA,255
Female,31,50,Total Water,2.7,L,0,NA,255
Female,51,70,Total Water,2.7,L,0,NA,255
Female,70,200,Total Water,2.7,L,0,NA,255
Pregnancy,14,18,Total Water,3,L,0,NA,255
Pregnancy,19,30,Total Water,3,L,0,NA,255
Pregnancy,31,50,Total Water,3,L,0,NA,255
Lactation,14,18,Total Water,3.8,L,0,NA,255
Lactation,19,30,Total Water,3.8,L,0,NA,255
Lactation,31,50,Total Water,3.8,L,0,NA,255
Neutral,0,0.5,Tryptophan,167,mg/kg,1,NA,501
Neutral,0.583,1,Tryptophan,13,mg/kg,1,NA,501
Neutral,1,3,Tryptophan,8,mg/kg,1,NA,501
Neutral,4,8,Tryptophan,6,mg/kg,1,NA,501
Male,9,13,Tryptophan,6,mg/kg,1,NA,501
Female,9,13,Tryptophan,6,mg/kg,1,NA,501
Male,14,18,Tryptophan,6,mg/kg,1,NA,501
Female,14,18,Tryptophan,5,mg/kg,1,NA,501
Neutral,19,200,Tryptophan,5,mg/kg,1,NA,501
Precnancy,0,200,Tryptophan,7,mg/kg,1,NA,501
Lactation,0,200,Tryptophan,9,mg/kg,1,NA,501
Neutral,0,0.5,Valine,519,mg/kg,1,NA,510
Neutral,0.583,1,Valine,58,mg/kg,1,NA,510
Neutral,1,3,Valine,37,mg/kg,1,NA,510
Neutral,4,8,Valine,28,mg/kg,1,NA,510
Male,9,13,Valine,28,mg/kg,1,NA,510
Female,9,13,Valine,27,mg/kg,1,NA,510
Male,14,18,Valine,27,mg/kg,1,NA,510
Female,14,18,Valine,24,mg/kg,1,NA,510
Neutral,19,200,Valine,4,mg/kg,1,NA,510
Precnancy,0,200,Valine,31,mg/kg,1,NA,510
Lactation,0,200,Valine,35,mg/kg,1,NA,510
Neutral,0.5,1,Vanadium,NA,mg,0,NA,NA
Neutral,1,3,Vanadium,NA,mg,0,NA,NA
Neutral,4,8,Vanadium,NA,mg,0,NA,NA
Male,9,13,Vanadium,NA,mg,0,NA,NA
Male,14,18,Vanadium,NA,mg,0,NA,NA
Male,19,30,Vanadium,NA,mg,0,NA,NA
Male,31,50,Vanadium,NA,mg,0,1.8,NA
Male,51,70,Vanadium,NA,mg,0,1.8,NA
Male,70,200,Vanadium,NA,mg,0,1.8,NA
Female,9,13,Vanadium,NA,mg,0,1.8,NA
Female,14,18,Vanadium,NA,mg,0,NA,NA
Female,19,30,Vanadium,NA,mg,0,NA,NA
Female,31,50,Vanadium,NA,mg,0,1.8,NA
Female,51,70,Vanadium,NA,mg,0,1.8,NA
Female,70,200,Vanadium,NA,mg,0,1.8,NA
Pregnancy,14,18,Vanadium,NA,mg,0,1.8,NA
Pregnancy,19,30,Vanadium,NA,mg,0,NA,NA
Pregnancy,31,50,Vanadium,NA,mg,0,NA,NA
Lactation,14,18,Vanadium,NA,mg,0,NA,NA
Lactation,19,30,Vanadium,NA,mg,0,NA,NA
Lactation,31,50,Vanadium,NA,mg,0,NA,NA
Lactation,31,50,Vanadium,NA,mg,0,NA,NA
Neutral,0,0.5,Vitamin A,400,ug,0,600,320
Neutral,0.5,1,Vitamin A,500,ug,0,600,320
Neutral,1,3,Vitamin A,300,ug,1,600,320
Neutral,4,8,Vitamin A,400,ug,1,900,320
Male,9,13,Vitamin A,600,ug,1,1700,320
Male,14,18,Vitamin A,900,ug,1,2800,320
Male,19,30,Vitamin A,900,ug,1,3000,320
Male,31,50,Vitamin A,900,ug,1,3000,320
Male,51,70,Vitamin A,900,ug,1,3000,320
Male,70,200,Vitamin A,900,ug,1,3000,320
Female,9,13,Vitamin A,600,ug,1,1700,320
Female,14,18,Vitamin A,700,ug,1,2800,320
Female,19,30,Vitamin A,700,ug,1,3000,320
Female,31,50,Vitamin A,700,ug,1,3000,320
Female,51,70,Vitamin A,700,ug,1,3000,320
Female,70,200,Vitamin A,700,ug,1,3000,320
Pregnancy,14,18,Vitamin A,750,ug,1,2800,320
Pregnancy,19,30,Vitamin A,770,ug,1,3000,320
Pregnancy,31,50,Vitamin A,770,ug,1,3000,320
Lactation,14,18,Vitamin A,1200,ug,1,2800,320
Lactation,19,30,Vitamin A,1300,ug,1,3000,320
Lactation,31,50,Vitamin A,1300,ug,1,3000,320
Neutral,0,0.5,Vitamin B12,0.4,ug,0,NA,418
Neutral,0.5,1,Vitamin B12,0.5,ug,0,NA,418
Neutral,1,3,Vitamin B12,0,ug,1,NA,418
Neutral,4,8,Vitamin B12,1,ug,1,NA,418
Male,9,13,Vitamin B12,1,ug,1,NA,418
Male,14,18,Vitamin B12,2,ug,1,NA,418
Male,19,30,Vitamin B12,2,ug,1,NA,418
Male,31,50,Vitamin B12,2,ug,1,NA,418
Male,51,70,Vitamin B12,2.4,ug,0,NA,418
Male,70,200,Vitamin B12,2.4,ug,0,NA,418
Female,9,13,Vitamin B12,1,ug,1,NA,418
Female,14,18,Vitamin B12,2,ug,1,NA,418
Female,19,30,Vitamin B12,2,ug,1,NA,418
Female,31,50,Vitamin B12,2,ug,1,NA,418
Female,51,70,Vitamin B12,2.4,ug,0,NA,418
Female,70,200,Vitamin B12,2.4,ug,0,NA,418
Pregnancy,14,18,Vitamin B12,2,ug,1,NA,418
Pregnancy,19,30,Vitamin B12,2,ug,1,NA,418
Pregnancy,31,50,Vitamin B12,2,ug,1,NA,418
Lactation,14,18,Vitamin B12,2,ug,1,NA,418
Lactation,19,30,Vitamin B12,2,ug,1,NA,418
Lactation,31,50,Vitamin B12,2,ug,1,NA,418
Neutral,0,0.5,Vitamin B6,0.1,mg,0,NA,415
Neutral,0.5,1,Vitamin B6,0.3,mg,0,NA,415
Neutral,1,3,Vitamin B6,0,mg,1,30,415
Neutral,4,8,Vitamin B6,0,mg,1,40,415
Male,9,13,Vitamin B6,1,mg,1,60,415
Male,14,18,Vitamin B6,1,mg,1,80,415
Male,19,30,Vitamin B6,1,mg,1,100,415
Male,31,50,Vitamin B6,1,mg,1,100,415
Male,51,70,Vitamin B6,1,mg,1,100,415
Male,70,200,Vitamin B6,1,mg,1,100,415
Female,9,13,Vitamin B6,1,mg,1,60,415
Female,14,18,Vitamin B6,1,mg,1,80,415
Female,19,30,Vitamin B6,1,mg,1,100,415
Female,31,50,Vitamin B6,1,mg,1,100,415
Female,51,70,Vitamin B6,1,mg,1,100,415
Female,70,200,Vitamin B6,1,mg,1,100,415
Pregnancy,14,18,Vitamin B6,1,mg,1,80,415
Pregnancy,19,30,Vitamin B6,1,mg,1,100,415
Pregnancy,31,50,Vitamin B6,1,mg,1,100,415
Lactation,14,18,Vitamin B6,2,mg,1,80,415
Lactation,19,30,Vitamin B6,2,mg,1,100,415
Lactation,31,50,Vitamin B6,2,mg,1,100,415
Neutral,0,0.5,Vitamin C,40,mg,0,NA,401
Neutral,0.5,1,Vitamin C,50,mg,0,NA,401
Neutral,1,3,Vitamin C,15,mg,1,400,401
Neutral,4,8,Vitamin C,25,mg,1,650,401
Male,9,13,Vitamin C,45,mg,1,1200,401
Male,14,18,Vitamin C,75,mg,1,1800,401
Male,19,30,Vitamin C,90,mg,1,2000,401
Male,31,50,Vitamin C,90,mg,1,2000,401
Male,51,70,Vitamin C,90,mg,1,2000,401
Male,70,200,Vitamin C,90,mg,1,2000,401
Female,9,13,Vitamin C,45,mg,1,1200,401
Female,14,18,Vitamin C,65,mg,1,1800,401
Female,19,30,Vitamin C,75,mg,1,2000,401
Female,31,50,Vitamin C,75,mg,1,2000,401
Female,51,70,Vitamin C,75,mg,1,2000,401
Female,70,200,Vitamin C,75,mg,1,2000,401
Pregnancy,14,18,Vitamin C,80,mg,1,1800,401
Pregnancy,19,30,Vitamin C,85,mg,1,2000,401
Pregnancy,31,50,Vitamin C,85,mg,1,2000,401
Lactation,14,18,Vitamin C,115,mg,1,1800,401
Lactation,19,30,Vitamin C,120,mg,1,2000,401
Lactation,31,50,Vitamin C,120,mg,1,2000,401
Neutral,0,0.5,Vitamin D,10,ug,0,25,328
Neutral,0.5,1,Vitamin D,10,ug,0,38,328
Neutral,1,3,Vitamin D,15,ug,1,63,328
Neutral,4,8,Vitamin D,15,ug,1,75,328
Male,9,13,Vitamin D,15,ug,1,100,328
Male,14,18,Vitamin D,15,ug,1,100,328
Male,19,30,Vitamin D,15,ug,1,100,328
Male,31,50,Vitamin D,15,ug,1,100,328
Male,51,70,Vitamin D,15,ug,1,100,328
Male,70,200,Vitamin D,20,ug,1,100,328
Female,9,13,Vitamin D,15,ug,1,100,328
Female,14,18,Vitamin D,15,ug,1,100,328
Female,19,30,Vitamin D,15,ug,1,100,328
Female,31,50,Vitamin D,15,ug,1,100,328
Female,51,70,Vitamin D,15,ug,1,100,328
Female,70,200,Vitamin D,20,ug,1,100,328
Pregnancy,14,18,Vitamin D,15,ug,1,100,328
Pregnancy,19,30,Vitamin D,15,ug,1,100,328
Pregnancy,31,50,Vitamin D,15,ug,1,100,328
Lactation,14,18,Vitamin D,15,ug,1,100,328
Lactation,19,30,Vitamin D,15,ug,1,100,328
Lactation,31,50,Vitamin D,15,ug,1,100,328
Neutral,0,0.5,Vitamin E,4,mg,0,NA,323
Neutral,0.5,1,Vitamin E,5,mg,0,NA,323
Neutral,1,3,Vitamin E,6,mg,1,200,323
Neutral,4,8,Vitamin E,7,mg,1,300,323
Male,9,13,Vitamin E,11,mg,1,600,323
Male,14,18,Vitamin E,15,mg,1,800,323
Male,19,30,Vitamin E,15,mg,1,1000,323
Male,31,50,Vitamin E,15,mg,1,1000,323
Male,51,70,Vitamin E,15,mg,1,1000,323
Male,70,200,Vitamin E,15,mg,1,1000,323
Female,9,13,Vitamin E,11,mg,1,600,323
Female,14,18,Vitamin E,15,mg,1,800,323
Female,19,30,Vitamin E,15,mg,1,1000,323
Female,31,50,Vitamin E,15,mg,1,1000,323
Female,51,70,Vitamin E,15,mg,1,1000,323
Female,70,200,Vitamin E,15,mg,1,1000,323
Pregnancy,14,18,Vitamin E,15,mg,1,800,323
Pregnancy,19,30,Vitamin E,15,mg,1,1000,323
Pregnancy,31,50,Vitamin E,15,mg,1,1000,323
Lactation,14,18,Vitamin E,19,mg,1,800,323
Lactation,19,30,Vitamin E,19,mg,1,1000,323
Lactation,31,50,Vitamin E,19,mg,1,1000,323
Neutral,0,0.5,Vitamin K,2,ug,0,NA,430
Neutral,0.5,1,Vitamin K,2.5,ug,0,NA,430
Neutral,1,3,Vitamin K,30,ug,0,NA,430
Neutral,4,8,Vitamin K,55,ug,0,NA,430
Male,9,13,Vitamin K,60,ug,0,NA,430
Male,14,18,Vitamin K,75,ug,0,NA,430
Male,19,30,Vitamin K,120,ug,0,NA,430
Male,31,50,Vitamin K,120,ug,0,NA,430
Male,51,70,Vitamin K,120,ug,0,NA,430
Male,70,200,Vitamin K,120,ug,0,NA,430
Female,9,13,Vitamin K,60,ug,0,NA,430
Female,14,18,Vitamin K,75,ug,0,NA,430
Female,19,30,Vitamin K,90,ug,0,NA,430
Female,31,50,Vitamin K,90,ug,0,NA,430
Female,51,70,Vitamin K,90,ug,0,NA,430
Female,70,200,Vitamin K,90,ug,0,NA,430
Pregnancy,14,18,Vitamin K,75,ug,0,NA,430
Pregnancy,19,30,Vitamin K,90,ug,0,NA,430
Pregnancy,31,50,Vitamin K,90,ug,0,NA,430
Lactation,14,18,Vitamin K,75,ug,0,NA,430
Lactation,19,30,Vitamin K,90,ug,0,NA,430
Lactation,31,50,Vitamin K,90,ug,0,NA,430
Neutral,0,0.5,Zinc,2,mg,0,4,309
Neutral,0.5,1,Zinc,3,mg,1,5,309
Neutral,1,3,Zinc,3,mg,1,7,309
Neutral,4,8,Zinc,5,mg,1,12,309
Male,9,13,Zinc,8,mg,1,23,309
Male,14,18,Zinc,11,mg,1,34,309
Male,19,30,Zinc,11,mg,1,40,309
Male,31,50,Zinc,11,mg,1,40,309
Male,51,70,Zinc,11,mg,1,40,309
Male,70,200,Zinc,11,mg,1,40,309
Female,9,13,Zinc,8,mg,1,23,309
Female,14,18,Zinc,9,mg,1,34,309
Female,19,30,Zinc,8,mg,1,40,309
Female,31,50,Zinc,8,mg,1,40,309
Female,51,70,Zinc,8,mg,1,40,309
Female,70,200,Zinc,8,mg,1,40,309
Pregnancy,14,18,Zinc,12,mg,1,34,309
Pregnancy,19,30,Zinc,11,mg,1,40,309
Pregnancy,31,50,Zinc,11,mg,1,40,309
Lactation,14,18,Zinc,13,mg,1,34,309
Lactation,19,30,Zinc,12,mg,1,40,309
Lactation,31,50,Zinc,12,mg,1,40,309
